timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1725112918638,332,Product Click,503,Service Unavailable,Thread Group 1-9,false,,9198,20,20,160,1,1,DESKTOP-8DR4KRQ
1725112918817,317,Search Product,503,Service Unavailable,Thread Group 1-15,false,,2432,20,20,159,1,1,DESKTOP-8DR4KRQ
1725112918790,360,Product Click,503,Service Unavailable,Thread Group 1-8,false,,9191,20,20,155,1,1,DESKTOP-8DR4KRQ
1725112918862,326,Search Product,503,Service Unavailable,Thread Group 1-14,false,,2432,20,20,168,1,1,DESKTOP-8DR4KRQ
1725112918677,549,Add to cart,200,OK,Thread Group 1-2,true,,38290,20,20,173,1,0,DESKTOP-8DR4KRQ
1725112918087,1174,Home Page,200,OK,Thread Group 1-19,true,,212962,20,20,513,1,0,DESKTOP-8DR4KRQ
1725112918338,1014,Home Page,200,OK,Thread Group 1-20,true,,45494,20,20,501,1,0,DESKTOP-8DR4KRQ
1725112918945,504,Add to cart,200,OK,Thread Group 1-3,true,,35863,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112919165,322,Add to cart,503,Service Unavailable,Thread Group 1-4,false,,2380,20,20,163,1,1,DESKTOP-8DR4KRQ
1725112919186,315,Product Click,503,Service Unavailable,Thread Group 1-6,false,,9191,20,20,156,1,1,DESKTOP-8DR4KRQ
1725112919254,336,Product Click,503,Service Unavailable,Thread Group 1-10,false,,9191,20,20,171,1,1,DESKTOP-8DR4KRQ
1725112919338,321,Search Product,503,Service Unavailable,Thread Group 1-16,false,,2432,20,20,164,1,1,DESKTOP-8DR4KRQ
1725112919338,328,Search Product,503,Service Unavailable,Thread Group 1-17,false,,2432,20,20,171,1,1,DESKTOP-8DR4KRQ
1725112918697,988,Search Product,200,OK,Thread Group 1-13,true,,81775,20,20,170,1,0,DESKTOP-8DR4KRQ
1725112919312,496,Add to cart,200,OK,Thread Group 1-5,true,,35867,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112919522,326,Search Product,503,Service Unavailable,Thread Group 1-18,false,,2432,20,20,162,1,1,DESKTOP-8DR4KRQ
1725112917126,3062,Product Click,200,OK,Thread Group 1-1,true,,1219639,20,20,167,1,0,DESKTOP-8DR4KRQ
1725112919844,355,Product Click,503,Service Unavailable,Thread Group 1-12,false,,9191,20,20,177,1,1,DESKTOP-8DR4KRQ
1725112919944,522,Add to cart,200,OK,Thread Group 1-7,true,,35890,20,20,188,1,0,DESKTOP-8DR4KRQ
1725112920175,329,Product Click,503,Service Unavailable,Thread Group 1-15,false,,9191,20,20,172,1,1,DESKTOP-8DR4KRQ
1725112920030,502,Add to cart,200,OK,Thread Group 1-9,true,,35835,20,20,170,1,0,DESKTOP-8DR4KRQ
1725112920207,332,Product Click,503,Service Unavailable,Thread Group 1-14,false,,9191,20,20,174,1,1,DESKTOP-8DR4KRQ
1725112920354,330,Search Product,503,Service Unavailable,Thread Group 1-19,false,,2432,20,20,167,1,1,DESKTOP-8DR4KRQ
1725112920212,522,Add to cart,200,OK,Thread Group 1-8,true,,35828,20,20,158,1,0,DESKTOP-8DR4KRQ
1725112920245,532,Add one year warranty SKIP,200,OK,Thread Group 1-2,true,,378,20,20,532,1,0,DESKTOP-8DR4KRQ
1725112920489,522,Add one year warranty SKIP,200,OK,Thread Group 1-3,true,,378,20,20,522,1,0,DESKTOP-8DR4KRQ
1725112920575,498,Add to cart,200,OK,Thread Group 1-6,true,,38285,20,20,157,1,0,DESKTOP-8DR4KRQ
1725112920715,369,Product Click,503,Service Unavailable,Thread Group 1-16,false,,9191,20,20,166,1,1,DESKTOP-8DR4KRQ
1725112920714,379,Product Click,503,Service Unavailable,Thread Group 1-13,false,,9198,20,20,171,1,1,DESKTOP-8DR4KRQ
1725112920583,516,Add one year warranty SKIP,200,OK,Thread Group 1-4,true,,378,20,20,516,1,0,DESKTOP-8DR4KRQ
1725112920647,510,Add to cart,200,OK,Thread Group 1-10,true,,38299,20,20,167,1,0,DESKTOP-8DR4KRQ
1725112920666,521,Product Click,503,Service Unavailable,Thread Group 1-17,false,,9303,20,20,172,1,1,DESKTOP-8DR4KRQ
1725112920822,485,Add one year warranty SKIP,200,OK,Thread Group 1-5,true,,378,20,20,485,1,0,DESKTOP-8DR4KRQ
1725112920939,369,Product Click,503,Service Unavailable,Thread Group 1-18,false,,9191,20,20,165,1,1,DESKTOP-8DR4KRQ
1725112920399,1080,Search Product,200,OK,Thread Group 1-20,true,,94252,20,20,169,1,0,DESKTOP-8DR4KRQ
1725112919247,2483,Product Click,200,OK,Thread Group 1-11,true,,1225198,20,20,175,1,0,DESKTOP-8DR4KRQ
1725112921228,503,Add to cart,200,OK,Thread Group 1-12,true,,35921,20,20,168,1,0,DESKTOP-8DR4KRQ
1725112921282,506,Add to cart,200,OK,Thread Group 1-1,true,,35866,20,20,169,1,0,DESKTOP-8DR4KRQ
1725112921620,331,Add to cart,503,Service Unavailable,Thread Group 1-14,false,,2380,20,20,169,1,1,DESKTOP-8DR4KRQ
1725112921531,487,Add one year warranty SKIP,200,OK,Thread Group 1-7,true,,378,20,20,487,1,0,DESKTOP-8DR4KRQ
1725112921699,370,Product Click,503,Service Unavailable,Thread Group 1-19,false,,9191,20,20,168,1,1,DESKTOP-8DR4KRQ
1725112921554,498,Add to cart,200,OK,Thread Group 1-15,true,,38309,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112921622,519,Add one year warranty SKIP,200,OK,Thread Group 1-9,true,,378,20,20,519,1,0,DESKTOP-8DR4KRQ
1725112921828,502,Add one year warranty SKIP,200,OK,Thread Group 1-8,true,,378,20,20,502,1,0,DESKTOP-8DR4KRQ
1725112922123,493,Add to cart,200,OK,Thread Group 1-16,true,,38293,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112922146,509,Add to cart,200,OK,Thread Group 1-13,true,,35906,20,20,173,1,0,DESKTOP-8DR4KRQ
1725112922153,518,Add one year warranty SKIP,200,OK,Thread Group 1-6,true,,378,20,20,518,1,0,DESKTOP-8DR4KRQ
1725112922205,501,Add one year warranty SKIP,200,OK,Thread Group 1-10,true,,378,20,20,501,1,0,DESKTOP-8DR4KRQ
1725112922230,505,Add to cart,200,OK,Thread Group 1-17,true,,35836,20,20,174,1,0,DESKTOP-8DR4KRQ
1725112922530,324,Product Click,503,Service Unavailable,Thread Group 1-20,false,,9191,20,20,161,1,1,DESKTOP-8DR4KRQ
1725112922371,533,Add to cart,200,OK,Thread Group 1-18,true,,35837,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112922809,474,Add one year warranty SKIP,200,OK,Thread Group 1-1,true,,378,20,20,474,1,0,DESKTOP-8DR4KRQ
1725112922828,497,Add one year warranty SKIP,200,OK,Thread Group 1-12,true,,378,20,20,497,1,0,DESKTOP-8DR4KRQ
1725112922803,729,proceed to buy,200,OK,Thread Group 1-2,true,,37229,20,20,172,1,0,DESKTOP-8DR4KRQ
1725112923029,510,Add one year warranty SKIP,200,OK,Thread Group 1-14,true,,378,20,20,510,1,0,DESKTOP-8DR4KRQ
1725112922791,789,Add to cart,200,OK,Thread Group 1-11,true,,38300,20,20,172,1,0,DESKTOP-8DR4KRQ
1725112923103,502,Add one year warranty SKIP,200,OK,Thread Group 1-15,true,,378,20,20,502,1,0,DESKTOP-8DR4KRQ
1725112923151,710,proceed to buy,200,OK,Thread Group 1-3,true,,37209,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112923232,743,proceed to buy,200,OK,Thread Group 1-4,true,,37212,20,20,172,1,0,DESKTOP-8DR4KRQ
1725112923341,725,proceed to buy,200,OK,Thread Group 1-5,true,,37313,20,20,164,1,0,DESKTOP-8DR4KRQ
1725112923166,938,Add to cart,200,OK,Thread Group 1-19,true,,38304,20,20,169,1,0,DESKTOP-8DR4KRQ
1725112923704,2665,Add one year warranty SKIP,200,OK,Thread Group 1-16,true,,378,16,16,2665,1,0,DESKTOP-8DR4KRQ
1725112923754,2616,Add one year warranty SKIP,200,OK,Thread Group 1-13,true,,378,16,16,2616,1,0,DESKTOP-8DR4KRQ
1725112923785,2730,Add one year warranty SKIP,200,OK,Thread Group 1-17,true,,378,16,16,2730,1,0,DESKTOP-8DR4KRQ
1725112923927,2592,Add to cart,200,OK,Thread Group 1-20,true,,35842,16,16,2255,1,0,DESKTOP-8DR4KRQ
1725112923930,2599,Add one year warranty SKIP,200,OK,Thread Group 1-18,true,,378,16,16,2599,1,0,DESKTOP-8DR4KRQ
1725112925172,1361,Add one year warranty SKIP,200,OK,Thread Group 1-19,true,,378,16,16,1361,1,0,DESKTOP-8DR4KRQ
1725112924664,1896,Add one year warranty SKIP,200,OK,Thread Group 1-11,true,,378,16,16,1896,1,0,DESKTOP-8DR4KRQ
1725112924412,2144,proceed to buy,503,Service Unavailable,Thread Group 1-8,false,,3751,16,16,1770,1,1,DESKTOP-8DR4KRQ
1725112924262,2324,proceed to buy,503,Service Unavailable,Thread Group 1-9,false,,3751,16,16,1927,1,1,DESKTOP-8DR4KRQ
1725112925378,1368,proceed to buy,200,OK,Thread Group 1-12,true,,37221,16,16,834,1,0,DESKTOP-8DR4KRQ
1725112925724,1028,proceed to buy,200,OK,Thread Group 1-14,true,,37276,16,16,496,1,0,DESKTOP-8DR4KRQ
1725112924771,1999,proceed to buy,200,OK,Thread Group 1-6,true,,39698,16,16,1418,1,0,DESKTOP-8DR4KRQ
1725112924057,2734,proceed to buy,200,OK,Thread Group 1-7,true,,37212,16,16,2146,1,0,DESKTOP-8DR4KRQ
1725112925380,1614,proceed to buy,200,OK,Thread Group 1-1,true,,39655,16,16,832,1,0,DESKTOP-8DR4KRQ
1725112924807,2242,proceed to buy,200,OK,Thread Group 1-10,true,,37272,16,16,1389,1,0,DESKTOP-8DR4KRQ
1725112927556,510,Add one year warranty SKIP,200,OK,Thread Group 1-20,true,,378,9,9,510,1,0,DESKTOP-8DR4KRQ
1725112925800,2458,proceed to buy,200,OK,Thread Group 1-15,true,,37209,8,8,412,1,0,DESKTOP-8DR4KRQ
1725112928437,720,proceed to buy,200,OK,Thread Group 1-13,true,,37325,8,8,173,1,0,DESKTOP-8DR4KRQ
1725112928482,719,proceed to buy,200,OK,Thread Group 1-16,true,,39663,8,8,167,1,0,DESKTOP-8DR4KRQ
1725112928597,713,proceed to buy,200,OK,Thread Group 1-18,true,,37203,7,7,164,1,0,DESKTOP-8DR4KRQ
1725112928582,736,proceed to buy,200,OK,Thread Group 1-17,true,,37206,7,7,172,1,0,DESKTOP-8DR4KRQ
1725112928655,711,proceed to buy,200,OK,Thread Group 1-11,true,,39675,7,7,175,1,0,DESKTOP-8DR4KRQ
1725112928725,756,proceed to buy,200,OK,Thread Group 1-19,true,,37237,7,7,171,1,0,DESKTOP-8DR4KRQ
1725112930135,714,proceed to buy,200,OK,Thread Group 1-20,true,,37202,1,1,164,1,0,DESKTOP-8DR4KRQ
